Sample number,Time Stamp,Raw entries,Physical Health,Mental Health,heavy Workload,Stress,Relationships,Job Applications,Job Decisions,Academics,Family Issues,Social Anxiety,Sleep,Social Life,Dance,GPA,Insecurity,Future,Artist Management,Job Opportunities,Busywork,Online Classes,After Graduation ,Statistics class,COVID,Time Zone Shift,Communication,Motivation,Student Debt,Internship,Research,No Breaks,Too Many Meetings,Graduation,Finances,Distance from Family,Making Meals,Excercising,College Experience 
1,2021/03/09 2:18:32 PM EST,Health.  Mental health.  Heavy workload.  Stress. Relationships.,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021/03/09 2:18:55 PM EST,Job applications and decisions.  Academic performance.,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021/03/09 2:20:14 PM EST,Mental Health Issues. Family Issues. 3: Extreme Academic Stress. 4:Physical Heath Issues 5: Social Anxiety,4,1,,,,,,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021/03/09 2:20:57 PM EST,1. Sleep 2. Social life 3. Dance 4. Grades 5. Insecure/toxic people,,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,
5,2021/03/09 2:21:39 PM EST,1: School. 2: Future. 3: Artist Management. 4: Job Opportunities.5: Busywork.,,,,,,,,1,,,,,,,,2,3,4,5,,,,,,,,,,,,,,,,,,
6,2021/03/09 2:23:22 PM EST,1 online class are very hard. 2 I might fail statistics. 3 i'm nervous about moving to a new city after graduation. 4 my GPA is really bad ,,,,,,,,,,,,,,4,,,,,,1,3,2,,,,,,,,,,,,,,,
7,2021/03/09 2:24:07 PM EST,1:Deciding on Completing Master's Program after college. 2:Finding a Job for after college. 3:Mainting Current GPA. 4:Finding Housing for Post College Job. 5:Deciding to stay in-state post college or moving away.,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,
8,2021/03/09 2:24:12 PM EST,1 Remote Learning. 2 Coronavirus. 3 Time Zone Shift. 4 Communication. 5 Motivation,,,,,,,,,,,,,,,,,,,,1,,,2,3,4,5,,,,,,,,,,,
9,2021/03/09 2:24:40 PM EST,1: Stress over COVID and dealing with the pandemic. 2: Stress over school work. 3: Family Problems. 4: Anxiety over what to do in the future/post graduation. 5: Romantic Relationships.,,,,,5,,,2,3,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,
10,2021/03/09 2:26:57 PM EST,1: Virtual lectures are much harder to manage. 2: Student debt accumulation. 3: Stress from overwhelming amounts of classwork. 4: Finding a healthy balance between school and social activities. 5: Having to work/study from home limits resources for effectivity.,,,3,,,,,,,,,4,,,,,,,,1,,,,,,,2,,,,,,,,,,
11,2021/03/09 2:27:42 PM EST,1: Mental Health Issues 1. 2: Family Issues 2. 3: Extreme Academic Stress 3. 4:Physical Heath Issues 4. 5: Social Anxiety 5. ,4,1,,,,,,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021/03/09 2:27:51 PM EST,1:Balance assignments with side job. 2:finding internship for Summer semester. 3:find research for Fall semester. 4:save money for grad school. 5:find friends at Tech.,,,1,,,,,,,,,5,,,,,,,,,,,,,,,4,2,3,,,,,,,,
13,2021/03/09 2:28:00 PM EST,1. instructors not understanding canvas 2. high workload 3. confusing assignments 4. communication from administration 5. mental health,,5,2,,,,,3,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,
14,2021/03/09 2:28:03 PM EST,1: too many tests and not enough breaks. 2: stress related to COVID. 3: abundance of meetings in a single day. 4: stress surrounding graduation. 5: taking many credit hours.,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,3,4,,,,,
15,2021/03/09 2:28:07 PM EST,1: Wanting the real college experience before graduation. 2: Difficult financial situation. 3: Uncertain job prospects. 4: Long distance relationship. 5: Unable to see family and friends. ,,,,,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,5,,,1
16,2021/03/09 2:28:49 PM EST,1: Working with groups in a remote setting is difficult to coordinate thoughts and working times. 2: I am taking classes that are mostly project based so it can be difficult to divide time between each class evenly. ,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
17,2021/03/09 2:29:28 PM EST,1: Job applications and decisions. 2: Academic performance.,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021/03/09 2:30:25 PM EST,1: Getting an Internship. 2: Maintaining my GPA. 3: Getting a part time job. 4: Focusing during online lectures. 5: Avoiding COVID when visiting campus  ,,,,,,,3,,,,,,,2,,,,,,4,,,5,,,,,1,,,,,,,,,
19,2021/03/09 2:31:22 PM EST,1: School work. 2: Social life. 3: Career. 4: Mental health. 5: Physicla health.,5,4,1,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
20,2021/03/09 2:32:57 PM EST,1: Making meals. 2: Studying. 3: Keeping up with homework. 4: Exercising. 5: Finances,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,4,
21,2021/03/09 2:35:24 PM EST,1. Home Life 2. Money 3. Studying time 4. Social Aspect,,,,,,,,3,1,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,
