Sample number,Timestamp,raw entries,Diversity,Mental Health,Physical Health,Housing,On Campus Food,Transportation,Parking,Academics,Finances,Spring Break ,Flexibility ,Social ,Student Resources,Longer/More Breaks ,Counseling,Academic Advising,Breaks,Remote,Buses ,Flexibile Deadlines,Office Hours,Tuiton ,Sleep ,Instruction,Syllabus,Pass/Fail,Hobbies,TAs,Feedback,Motivation,Events,Hybrid Classes,Courses,Communication,Stress,Registration,Graduation,Job Search,COVID,Time Management,Less Work,Exams,Grade Replacement,ECE Majors,Family
1,2021/04/01 2:30:14 PM AST,1. diversity 2. mental health 3. counseling 4. academic advising 5. food options,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,2021/04/01 2:32:58 PM AST,1. On Campus Dining 2. Bus Routes 3. Student Housing 4. Better Mental Health Services 5. A real spring break 6. Longer breaks during the semester 7. Spring Break 8. Transportation 9. Parking 10. Reduce Tuition 11. Social 12. Grades 13. Financial 14. Mental Health 15. Sleep,0.0,0,0,0,0,0.0,0,12.0,13,0.0,0.0,11.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,15,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,2021/04/01 2:34:30 PM AST,1. SPRING BREAK 2. Free food 3. Flexibility 4. Pass/Fail 5. Parking. 6. Registration 7. Motivation 8. League of Legends Ranked 9. Grades 10. Hate remote,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4,2021/04/01 2:34:44 PM AST,1. Flexible Deadlines 2. Flexibility 3. Communication with Students 4. Counseling 5. Accepting feedback 6. Reduced Fees 7. More Breaks 8. More remote options 9. Flexible Deadlines 10. Cheaper food options 11. Depression 12. Anxiety 13. Constantly Tired 14. Constantly Sleeping 15. Low Motivation,0.0,11,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,14,0.0,0.0,0,0.0,0,0.0,15.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5,2021/04/01 2:35:19 PM AST,1. Better on-campus dining 2. Cheaper parking 3. Better freshman dorms 4. More busses 5. New ECE building 6. Food 7. Better housing 8. Cheaper parking 9. Better bus system 10. Bringing back spring break 11. Low motivation 12. Finding housing 13. Lots of projects 14. physical health 15. need sleep,0.0,0,14,12,0,0.0,0,13.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,15,0.0,0.0,0,0.0,0,0.0,11.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6,2021/04/01 2:35:20 PM AST,1. Mental Health Initiatives 2. Reduced fees 3. more transparency 4. put back breaks 5. Reduce stress on students 6. Mental health 7. Longer breaks 8. Diversity 9. Student Housing 10. Financial Aid 11. Mental health 12. academic stress 13. Many meetings 14. Post graduation stress 15. relationships ,0.0,11,0,0,0,0.0,0,0.0,0,0.0,0.0,15.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,13,0.0,0.0,0.0,12,0,14.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
7,2021/04/01 2:35:46 PM AST,1. Food  2. Better housing  3. More financial aid  4. transportation  5. More COVID friendly activities  6. Leniency 7. reduce tuition 8. more financial aid 9. Hybrid offering in the fall 10. longer breaks 11. financial 12. academic 13. job hunting 14. apartment searching 15. COVID,0.0,0,0,14,0,0.0,0,12.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,13.0,15.0,0.0,0.0,0,0.0,0.0,0.0
8,2021/04/01 2:35:57 PM AST,1. Staying Remote 2. Less work 3. More Breaks 4. Reduce Tuition 5. More On-Campus activities 6. More Breaks 7. Reduced Fees 8. Staying Remote 9. Mental Health 10. Flexible Deadlines 11. School 12. Work and Internships 13. Paying for school. 14. COVID 15. Artist Management,0.0,0,0,0,0,0.0,0,11.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,13,0,0.0,0.0,0,15.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,12.0,14.0,0.0,0.0,0,0.0,0.0,0.0
9,2021/04/01 2:36:59 PM AST,1. More Student Resources 2. Mental Health Initiatives 3. Stress Management services 4. Online learning resources due to COVID 5. Clearer Course Schedules 6. More breaks 7. Mental Health initiatives 8. Less work 9. More buses 10. Flexibility 11. Job Search 12. School/Work 13. Adjusting due to COVID 14. Mental health 15. Socializing,0.0,14,0,0,0,0.0,0,12.0,0,0.0,0.0,15.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,11.0,13.0,0.0,0.0,0,0.0,0.0,0.0
10,2021/04/01 2:37:08 PM AST,1. more career advisors 2. better food 3. better transportation 4. more resources for student health and wellness 5. better communication between staff and studentsn6. More ta office hours 7. put more breaks for students 8. reduced tuition costs due to online learning 9. grade replacement policy for courses 10. taking student polls to better understand their needs 11. mental stress and anxiety 12. more guidance for some courses 13. better TAs 14. financial stress 15. more oncampus events,0.0,0,0,0,0,0.0,0,0.0,14,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,13,0.0,0.0,15,0.0,12.0,0.0,11,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
